Nom de quartier;Code de quartier;Thermographie moyenne;Classe thermographique (de 1 à 6);Valeur minimale de la thermo.;Valeur maximale de la thermo.;Valeur médiane de la thermo.;Nombre de toitures par quartier;Ecart-type de la thermo. sur le quartier;Année de construction moyenne;Proportion moyenne de propriétaires;Revenu moyen;Date de la donnée source;Geo Shape;Geo Point
Moulin à vent;B1;126.644036697;5;3;254;127.0;2180;51.0542808459;1955.71372031662;61.9702176403207;32954.2459788152;2018-02-24T01:00:00+01:00;"{""coordinates"": [[[4.8924051518, 50.4884161958], [4.8923763917, 50.4884128343], [4.8922321919, 50.4883959821], [4.8912630414, 50.4882441155], [4.890945377, 50.4877866522], [4.890278241, 50.487946787], [4.8900627997, 50.4879404694], [4.8890507653, 50.4878025924], [4.8871614206, 50.4876557358], [4.8864384193, 50.4875961158], [4.885296501, 50.4875100517], [4.885446491, 50.4871085359], [4.8855358038, 50.4868303779], [4.8855865724, 50.4866470822], [4.8843244209000005, 50.4864726673], [4.8839296627, 50.486400687], [4.8835925049, 50.4863116938], [4.8831366154, 50.486172955], [4.8828991531, 50.4860734637], [4.8824499469, 50.4858782326], [4.8823867646, 50.4858390123], [4.8823642038, 50.4858539148], [4.8818776294, 50.4856287412], [4.8815229751, 50.4854709615], [4.8813935997, 50.4854134044], [4.8810931386, 50.4853001513], [4.8807849254, 50.4851500043], [4.8801960597, 50.4847741898], [4.8799875363, 50.4846262586], [4.8797983468, 50.4845075113], [4.8792797094, 50.4842843344], [4.8788597696, 50.4841109049], [4.8786453822, 50.484029316], [4.8786619255, 50.4839318319], [4.8786456808, 50.483904832], [4.8786289552, 50.4838779286], [4.8784975134, 50.4836424887], [4.8784475935, 50.4835669901], [4.8783416001, 50.4835722881], [4.8779593469, 50.4830581426], [4.8779933654, 50.4829873871], [4.8780113577, 50.482896528], [4.8780041656, 50.4828158666], [4.8778714936, 50.4824037277], [4.8773130323, 50.4823056172], [4.8766613702, 50.4822629654], [4.8767357217, 50.4821043492], [4.8760276902, 50.4816699277], [4.875757998, 50.4818070429], [4.8751761384000005, 50.4812876526], [4.8750158725, 50.4811592282], [4.8744504235, 50.4806736568], [4.8739666685, 50.4803185423], [4.8734155354, 50.4800563272], [4.8729728037, 50.4798483579], [4.8727202009, 50.4797014357], [4.872458813, 50.4795462591], [4.8722677834, 50.4794323013], [4.8720764131, 50.4793406563], [4.8719493101, 50.4792937821], [4.8717512606, 50.4792194515], [4.8715645405, 50.4791844442], [4.8713706326, 50.4791222816], [4.8709859528, 50.4789626012], [4.8709526411, 50.4789420257], [4.8704143915, 50.4785902175], [4.8703450588, 50.4786414747], [4.8701476572, 50.4785389714], [4.869926241, 50.4783811066], [4.8702544728, 50.4782480002], [4.8702108555, 50.4781759564], [4.8700875008, 50.477981065], [4.8699893312, 50.4778688929], [4.8698843442, 50.4778083104], [4.8697446492, 50.4777548127], [4.869591126, 50.4777224633], [4.8693763061, 50.4777019962], [4.869026452, 50.4776805566], [4.8686671477, 50.477671549], [4.8679151616, 50.4776722813], [4.8677100321, 50.4776419699], [4.8667488566, 50.4772704234], [4.8665384185, 50.4772102835], [4.8669893836, 50.4766723769], [4.8682876883, 50.4751405392], [4.8690818514, 50.4746342826], [4.8678012756, 50.47330602], [4.8674603977, 50.472594132], [4.8683323825, 50.4722551022], [4.8690975089, 50.4720916431], [4.8696821383, 50.4720001428], [4.8698263581, 50.4719146213], [4.8698484072, 50.4719015458], [4.8696969953, 50.4715808517], [4.8697937272, 50.4714490273], [4.8710825556, 50.471886356], [4.8721348226, 50.4721688477], [4.8722969977, 50.4719417157], [4.8723388665, 50.4718846354], [4.872581918, 50.4715532792], [4.873034446, 50.4717665658], [4.8744668153, 50.4726757361], [4.8745113377, 50.4726462028], [4.8746821494, 50.4725411662], [4.8748539168, 50.4724635228], [4.8750622413, 50.4723783017], [4.8752896437, 50.4722916188], [4.8755982689, 50.4721090243], [4.8756545875, 50.4720745618], [4.8757093254, 50.4720502178], [4.8759021181, 50.4719666992], [4.8759300723, 50.4719446737], [4.8766685034, 50.471877018], [4.8766393662, 50.4718282893], [4.8770337717, 50.4717138773], [4.8771476185000004, 50.4716773175], [4.8771561135, 50.4716529575], [4.8771895686, 50.4716439672], [4.8771208157, 50.4716013502], [4.8772391505, 50.4715870896], [4.8772581264, 50.4715831982], [4.877506856, 50.4715371292], [4.877630211, 50.471529794], [4.8777928203, 50.4715130427], [4.8782605626, 50.4714543634], [4.8785724758, 50.4714165263], [4.8785749030000005, 50.471094967], [4.8791848802, 50.4711016903], [4.8796831624, 50.4711333476], [4.8801225418000005, 50.4711671428], [4.8803982703, 50.4711960255], [4.8806108053, 50.4712472719], [4.8811539697, 50.4714405996], [4.8811750333, 50.4713909404], [4.881332608, 50.4709200482], [4.8813618489, 50.4708553118], [4.8813615237, 50.470825284200004], [4.8814226361, 50.4704743052], [4.8814657753, 50.4703527974], [4.8815156995999995, 50.4702915875], [4.8815326687, 50.4701388274], [4.8816126870000005, 50.4701639847], [4.8820989179000005, 50.4699212065], [4.8820946253, 50.4697441553], [4.8818477831, 50.469639898], [4.8816731039, 50.4695780263], [4.8818172537999995, 50.469531987], [4.8819042941, 50.4695127847], [4.8819651765, 50.4695125158], [4.8821273481, 50.4694951463], [4.8823877274, 50.4694440336], [4.8824831635, 50.4695935818], [4.8829740494, 50.470198174], [4.8832317635999996, 50.4708037922], [4.8834375779, 50.471972172], [4.883471166, 50.4722366236], [4.8844824406, 50.4728955322], [4.8848093934, 50.4739849296], [4.887648929, 50.4749527944], [4.8886351526, 50.4752809934], [4.8881453344, 50.4767659462], [4.8878679552, 50.4778036609], [4.8870608093, 50.4787604392], [4.8853715766, 50.4797164414], [4.8874061891, 50.4812970324], [4.8882254316000004, 50.482305607], [4.8882820914, 50.4831160506], [4.8940105904, 50.4872403005], [4.8934292429, 50.4875160463], [4.8930108691, 50.4877060441], [4.8931307922, 50.4878356832], [4.893251227, 50.488312677], [4.8926189462, 50.488409982], [4.8924051518, 50.4884161958]]], ""type"": ""Polygon""}";50.47855458951067, 4.880141600104064
La Leuchère;F1;138.501242751;5;1;254;139.0;1207;53.79848269;1944.9128440367;81.7420435510888;31714.2891278375;2018-02-24T01:00:00+01:00;"{""coordinates"": [[[4.7904793349, 50.4745965303], [4.7896586576, 50.4745007157], [4.7889155384, 50.4744218989], [4.788186293, 50.4743496369], [4.7878224585, 50.4743099035], [4.7873928062, 50.4742629054], [4.7869029267, 50.4742010034], [4.7860124484, 50.4740812328], [4.786121672, 50.4739233206], [4.7862200832, 50.4737895909], [4.7864455675, 50.4734315766], [4.7869500514, 50.4726223311], [4.7871791175, 50.4722213723], [4.7876610744, 50.4713686507], [4.787706835, 50.4712469597], [4.7879203149, 50.470431633], [4.7882467001, 50.4688800964], [4.7882908562, 50.4686161791], [4.7883086781, 50.4684968687], [4.7883081558, 50.4684101653], [4.7882451343, 50.4683142253], [4.7881923607, 50.46828184], [4.7881287248, 50.4682605216], [4.7880351511, 50.4682507542], [4.7879323635, 50.4682474814], [4.7874328559, 50.4682492829], [4.7855182746, 50.4682432483], [4.7847623224, 50.4682478858], [4.7845584805, 50.4682581869], [4.7844067622, 50.4682605469], [4.7834371609, 50.4682465838], [4.7819196251000005, 50.4682446476], [4.7798078644, 50.4682390656], [4.7787730005, 50.468231026], [4.7785717627, 50.4677094641], [4.7758390156, 50.4676929986], [4.775232888, 50.4677152411], [4.7736984755, 50.4677682393], [4.7730506288, 50.4677477784], [4.7727310276, 50.4677120164], [4.7725606564, 50.4676734323], [4.7754059544, 50.4655858479], [4.7765038870000005, 50.4644142179], [4.7781766799, 50.4626316172], [4.7797929101, 50.4609064266], [4.7806123706, 50.459995996800004], [4.7820213962, 50.458439908], [4.7830155539, 50.4573322535], [4.7843284286, 50.4558780055], [4.7847601575, 50.4554059495], [4.7857948022, 50.4543071353], [4.7870187171000005, 50.4530487655], [4.7886899266, 50.4513266511], [4.7895741446, 50.450415791], [4.7910234307, 50.4489232659], [4.792892887, 50.4485906599], [4.7932742032, 50.4485362983], [4.7939583823, 50.4495839848], [4.7943843457, 50.4500536633], [4.7948523701, 50.4505097217], [4.7954678902, 50.4509517732], [4.7959449176, 50.4512577312], [4.7970752317, 50.4518913299], [4.7984972797, 50.452407316], [4.7985701565, 50.4570824877], [4.7983801884, 50.457750658], [4.7988428979, 50.4583329726], [4.8002801133, 50.4582859165], [4.8002900028, 50.459370512], [4.8005137747, 50.4599001577], [4.8022036787, 50.4601383019], [4.8024033656, 50.4618846724], [4.8026004238, 50.4635335247], [4.805065835, 50.4648657605], [4.8077603436, 50.4623058578], [4.812434865, 50.4636412208], [4.8100926812, 50.4669811705], [4.8096411794, 50.4674623448], [4.809416714, 50.4677395742], [4.8092965054, 50.468169976], [4.8091075783, 50.4686474858], [4.8090846437, 50.4687174633], [4.8089383835, 50.4691774295], [4.8088917021, 50.469359323], [4.8088734827, 50.4694555796], [4.8088261784, 50.4696892687], [4.8087555107, 50.4698910005], [4.8086730434, 50.4700344103], [4.80855458, 50.4701806429], [4.8084527091, 50.470357196], [4.8087385118, 50.4707716815], [4.8088285888, 50.4708921974], [4.8089081486000005, 50.4709759797], [4.8089805131, 50.4710469295], [4.8091113286, 50.4711802176], [4.8091608821000005, 50.4712771421], [4.8092131837, 50.4713801338], [4.8092575079, 50.4715342665], [4.8092643379, 50.4716628483], [4.8092494416000005, 50.4717789019], [4.8092303717, 50.4718919356], [4.8091840359999996, 50.4721608988], [4.8091178156000005, 50.4723779173], [4.8090362794, 50.4725568435], [4.8090201029, 50.4726513766], [4.8072494378, 50.4728130449], [4.8064786324, 50.4728834132], [4.7981109856, 50.4735618035], [4.7953031483, 50.4737865171], [4.7947844626, 50.4738579774], [4.7943061946, 50.4739212706], [4.793523275, 50.474024877], [4.7926618909, 50.4741704898], [4.7913965244, 50.4744154128], [4.7904793349, 50.4745965303]]], ""type"": ""Polygon""}";50.46363933646705, 4.79337294835946
Célestines;N1;181.3771518;6;5;254;184.0;639;39.2859484642;1904.34230769231;15.2439024390244;18704.467164976;2018-02-24T01:00:00+01:00;"{""coordinates"": [[[4.8679821263, 50.4695179816], [4.8680387837, 50.4689268209], [4.8677441545, 50.4685106918], [4.8676753777, 50.4683157169], [4.8671883123, 50.4676006929], [4.8668510579, 50.467069064], [4.8667494262, 50.4669331431], [4.8664394101, 50.4659255325], [4.8677864707000005, 50.4650673379], [4.8692163471, 50.4638047828], [4.8697722646, 50.4633768836], [4.8699691885, 50.4632660797], [4.8701274653, 50.4631371431], [4.8707287794, 50.462197237], [4.8708010211, 50.461926841], [4.8709889825, 50.4619083577], [4.8718496787, 50.4617591207], [4.8721011136, 50.4618449398], [4.8728365185, 50.4621558496], [4.8746756958, 50.4628934618], [4.8765836593, 50.463698681], [4.8778002082, 50.4641958823], [4.8793401794, 50.4647303064], [4.8788461094, 50.4653303769], [4.8782224981999995, 50.4660948891], [4.8776654568, 50.4665230287], [4.8768283126, 50.4670196063], [4.8759845277, 50.4673821291], [4.87518924, 50.4677080787], [4.874558466, 50.4679312746], [4.8740422657, 50.4681361912], [4.8732534565000005, 50.4684242835], [4.8722396073, 50.46875593], [4.8718937831, 50.4688584954], [4.870997342, 50.4691284065], [4.8704579127, 50.4692519942], [4.8698116276, 50.4694068002], [4.8691018725, 50.4694914016], [4.8679821263, 50.4695179816]]], ""type"": ""Polygon""}";50.465760646068524, 4.872300199855799
Belgrade;BL;124.795023328;5;1;254;126.0;3215;49.5480379514;1955.3381294964;73.9059967585089;33065.9899178491;2018-02-24T01:00:00+01:00;"{""coordinates"": [[[4.8175044544, 50.4819419869], [4.817424893, 50.4819410247], [4.8173559209, 50.4819218375], [4.8173138182, 50.481900032], [4.817162435, 50.4818176555], [4.8170779535, 50.4818033029], [4.8170462205, 50.4818002912], [4.8169706975, 50.4818036267], [4.8169349325, 50.4817991859], [4.8168937706, 50.4817533623], [4.8168777334, 50.4817434331], [4.8168485129, 50.4817437067], [4.8167797246, 50.4817577003], [4.8167015314, 50.4817556625], [4.8166331908, 50.4817437268], [4.8164180836, 50.4816431808], [4.8163196174, 50.4815870546], [4.8162820235, 50.4815745481], [4.8161940542, 50.4815638044], [4.8160341944, 50.481498388], [4.8160083555, 50.4815049093], [4.8159534268, 50.4815416074], [4.8159298676999995, 50.481546035], [4.8159078466, 50.4815423465], [4.8158313707, 50.4814905935], [4.8157066373, 50.4814832328], [4.8156754626, 50.4814884215], [4.815632659, 50.481477029], [4.81547786, 50.4813505817], [4.8154139828, 50.4813189706], [4.8153090709, 50.4812880756], [4.8152520477, 50.4812788988], [4.8152070349, 50.4812813626], [4.815035099, 50.4813126902], [4.8149980581000005, 50.4813139365], [4.814960955, 50.4813011247], [4.8148115416, 50.4811847782], [4.8147171142000005, 50.4811394729], [4.8146520024, 50.4811204483], [4.8145803272, 50.4811117086], [4.8145167738, 50.4811136067], [4.8143698557, 50.4811243806], [4.8143393821, 50.4811200697], [4.8142798843, 50.4811295131], [4.8142203088, 50.4811296525], [4.8139921666, 50.4811041212], [4.8139153652, 50.4810989295], [4.8137671068, 50.4811071213], [4.8137299604, 50.4811104758], [4.8136779815, 50.4811051475], [4.8135506954, 50.4810680082], [4.8135165258, 50.4810698139], [4.8133977870999995, 50.481095669], [4.8133366455, 50.4810799917], [4.8133122738, 50.4810447293], [4.8133090777, 50.4809944519], [4.8132917019, 50.4809745075], [4.8132689084999996, 50.4809466085], [4.8132384302, 50.4809449306], [4.813196374, 50.4809691723], [4.8131756327, 50.4810188741], [4.813149143, 50.4810306693], [4.8130695952, 50.4810138773], [4.8130592272, 50.4810496727], [4.8130211892, 50.4810790136], [4.8129709288, 50.4810866651], [4.8129791544, 50.4809918217], [4.8129815902, 50.4809637228], [4.8129643147, 50.4808084463], [4.8130027971, 50.4807653862], [4.8130128482, 50.4806665909], [4.8129729775, 50.4805771], [4.8128336024, 50.4798177996], [4.8127069858, 50.4798053274], [4.8126094372, 50.4797599335], [4.8125175064, 50.4795233227], [4.8124303918999995, 50.4792938902], [4.8124808522, 50.4789304033], [4.8120067032, 50.4789239914], [4.8117829422, 50.4789204503], [4.8114659257, 50.4789351874], [4.8110452787, 50.4789443297], [4.8103900514, 50.4786690733], [4.80990111, 50.4784719686], [4.8094723668, 50.4780589842], [4.8089969719, 50.4775912734], [4.8094655195, 50.4769828989], [4.8093103713000005, 50.4768384486], [4.8091918902, 50.4767314067], [4.8089480735, 50.4765033406], [4.80891017, 50.4764600893], [4.8087798765, 50.476366277], [4.8086933184, 50.4763044047], [4.8086335072, 50.4762195972], [4.8085806674, 50.4761469443], [4.8085354938, 50.4760623529], [4.8084631431, 50.4759889251], [4.808435419, 50.4759460919], [4.8084020457, 50.4759001055], [4.8083322777, 50.4757869312], [4.8082467951000005, 50.4757132635], [4.8078402928, 50.4756870391], [4.8077219681, 50.4756793939], [4.8074795259, 50.4756626175], [4.8075022346, 50.4756297617], [4.8075352833, 50.4755409159], [4.8075878528, 50.4754971903], [4.8076502276, 50.475400769], [4.8077651652, 50.4751834501], [4.8078622326, 50.475035992], [4.8078781501000005, 50.4748848759], [4.8080906966, 50.4747698591], [4.8081329768, 50.4746315408], [4.8081795864, 50.4744752227], [4.8087168497, 50.4735196104], [4.8088606052, 50.4732209231], [4.8089292993, 50.4730311692], [4.8090201029, 50.4726513766], [4.8090362794, 50.4725568435], [4.8091178156000005, 50.4723779173], [4.8091840359999996, 50.4721608988], [4.8092303717, 50.4718919356], [4.8092494416000005, 50.4717789019], [4.8092643379, 50.4716628483], [4.8092575079, 50.4715342665], [4.8092131837, 50.4713801338], [4.8091608821000005, 50.4712771421], [4.8091113286, 50.4711802176], [4.8089805131, 50.4710469295], [4.8089081486000005, 50.4709759797], [4.8088285888, 50.4708921974], [4.8087385118, 50.4707716815], [4.8084527091, 50.470357196], [4.80855458, 50.4701806429], [4.8086730434, 50.4700344103], [4.8087555107, 50.4698910005], [4.8088261784, 50.4696892687], [4.8088734827, 50.4694555796], [4.8088917021, 50.469359323], [4.8089383835, 50.4691774295], [4.8090846437, 50.4687174633], [4.8091075783, 50.4686474858], [4.8092965054, 50.468169976], [4.809416714, 50.4677395742], [4.8096411794, 50.4674623448], [4.8096762717, 50.4674690942], [4.8101720686, 50.467548303], [4.8136369948, 50.4680985557], [4.8184914245, 50.4688672381], [4.818571447, 50.4684972805], [4.8187213, 50.4678827061], [4.8187656821000004, 50.4675692438], [4.8188297329, 50.4661629194], [4.8188324557, 50.4654505744], [4.8188225026, 50.4652893921], [4.8187699433999995, 50.4650746345], [4.8186752897, 50.464860039], [4.8184014855, 50.4643989316], [4.818028776, 50.4637880435], [4.8180417721, 50.4636098684], [4.8182876614, 50.4632104799], [4.8183904675, 50.463210082], [4.8187712977, 50.4626778388], [4.819055465, 50.462202268], [4.8197319474, 50.4611308313], [4.8198381112, 50.4609930461], [4.8201600141, 50.4607923066], [4.8204333643, 50.4606674248], [4.8206980148, 50.4605692446], [4.8223144941000005, 50.4600269486], [4.8230645368000005, 50.459715823], [4.8233035526, 50.4595611584], [4.8237729319, 50.4593328044], [4.8246825557, 50.4589115232], [4.8253443609, 50.4586222477], [4.8269173846, 50.4578831166], [4.8273485336, 50.4577090861], [4.8277183503, 50.4576917283], [4.8279881637, 50.4577169903], [4.8284420832, 50.4578709119], [4.8285269477, 50.457870576], [4.8291483527, 50.4575563489], [4.8291978085, 50.4574931298], [4.8291973381, 50.4574447765], [4.8292293297, 50.4572727181], [4.8293223048, 50.4572412631], [4.8294906401, 50.4573146651], [4.8295926261, 50.4574163444], [4.8298308887, 50.4576840415], [4.8299508066, 50.4577718229], [4.8301354865, 50.4578493908], [4.8304728563, 50.4579171085], [4.8302486605, 50.4583287058], [4.8303659285, 50.4587786173], [4.8306745427, 50.4588555812], [4.8308855112, 50.4590047431], [4.8309621706, 50.4591485595], [4.8310481779, 50.459286333], [4.8311906248, 50.4594238817], [4.8312853953, 50.4594955646], [4.8314037139, 50.4595678306], [4.8314829356, 50.4596133384], [4.8315650257, 50.4596499918], [4.8319446356, 50.4598349594], [4.8323882482, 50.4599759533], [4.8326790578, 50.4600743416], [4.8323909480000005, 50.4609366494], [4.8323674546, 50.4613917353], [4.8324449906, 50.4617672095], [4.8329686565, 50.4633781424], [4.8330523374, 50.4635081254], [4.8333724394, 50.4640053396], [4.8344543475, 50.4654589408], [4.8338302989, 50.4657595124], [4.8320313516, 50.4666259311], [4.8323829873, 50.467535988], [4.8335859064, 50.4678775376], [4.8343324049, 50.4685309537], [4.8343296279, 50.468653589], [4.8343212898, 50.4690218097], [4.8329929858, 50.4694260211], [4.8331814056999995, 50.4700750015], [4.8299334755, 50.4707351265], [4.829701204, 50.4717397722], [4.8300806242, 50.4718781405], [4.8298034142, 50.472077773], [4.8295985537, 50.4722420031], [4.8296399902000005, 50.4723101129], [4.8297144838, 50.4724445282], [4.8295386089, 50.4727215557], [4.829179129, 50.4733143084], [4.8291379684999995, 50.4734971363], [4.8291928770000005, 50.4736856197], [4.8274787036, 50.4747286397], [4.8263703138, 50.4754728227], [4.8262125028, 50.4755393898], [4.8261200839, 50.4755680402], [4.8260464131, 50.4755959065], [4.8258464689, 50.4757129727], [4.8250775183, 50.4761639071], [4.8242705154, 50.4766220439], [4.8245357315, 50.4767981888], [4.8248004643, 50.4769856728], [4.8241982213, 50.4773364723], [4.8234118866, 50.4778050092], [4.8222657419, 50.4784798544], [4.8222275192, 50.478509983], [4.8221033347, 50.4786462444], [4.8219207308000005, 50.4788691279], [4.8217874587, 50.4789824872], [4.8216399723, 50.4790943419], [4.8214931162, 50.4792141262], [4.8214436458000005, 50.4792530505], [4.8213996573, 50.4793333364], [4.821349539, 50.4794385828], [4.8213346317, 50.4794874184], [4.8213351522, 50.4795617077], [4.8213434433, 50.4796358742], [4.8213552508, 50.4796923285], [4.8213504662, 50.4797687872], [4.8213345676, 50.4798247731], [4.82128817, 50.4798954278], [4.8212497571, 50.479951825], [4.8211494839, 50.4800434924], [4.8210496351, 50.4801265525], [4.8209113181, 50.4802412969], [4.8207844588, 50.4803417909], [4.8207571613999995, 50.4803586246], [4.8206457945, 50.4804040898], [4.8205824459, 50.4804282012], [4.8204243933, 50.4804727627], [4.8201822545, 50.4805437147], [4.81973183, 50.4806619606], [4.8191004926000005, 50.4807625692], [4.8187852677, 50.480812683], [4.8185911920999995, 50.4808816457], [4.8184069435, 50.4810619135], [4.8183459031, 50.481336082], [4.8180118721, 50.4816363832], [4.8178072899, 50.481784686], [4.8176211419, 50.481932971], [4.8175044544, 50.4819419869]]], ""type"": ""Polygon""}";50.46999801369756, 4.8213968394487
Géronsart;J4;93.5248530198;3;4;254;92.0;1871;42.5441739247;1979.56669428335;83.4377797672337;42593.6763678696;2018-02-24T01:00:00+01:00;"{""coordinates"": [[[4.8944088588, 50.4489588523], [4.892914365, 50.4488431209], [4.8896824474, 50.4483902525], [4.8893145054, 50.448356789], [4.8883433269, 50.4482943097], [4.8872288893, 50.4486099978], [4.8857376746, 50.4489276784], [4.8852323328, 50.4486544522], [4.8847111612, 50.4487795018], [4.8842096644, 50.4486215618], [4.8834634537, 50.4483932975], [4.8831244198, 50.4483161002], [4.8828109337, 50.4476618348], [4.8828649914, 50.4473498092], [4.8794058633, 50.4470899659], [4.8791898511, 50.4451868556], [4.8790615382, 50.4441162229], [4.8787775455, 50.4421498366], [4.8786935493, 50.4409999084], [4.8784831737, 50.4391306567], [4.8784218208, 50.4384757259], [4.8784290963, 50.437637811], [4.8784763028, 50.437019556], [4.8785810846, 50.4362830475], [4.8786962781, 50.4358428962], [4.8789080648, 50.435200261], [4.8790038815, 50.4349309487], [4.8792139796, 50.4344363196], [4.8795378789, 50.4338113429], [4.8797191807, 50.4334761003], [4.8800568923, 50.4329301617], [4.880518231, 50.4323080425], [4.881058885, 50.43165947], [4.8813115198, 50.4313874478], [4.8819983487, 50.4307128271], [4.8825242506, 50.4302606031], [4.8829289994, 50.4299327982], [4.8837050706, 50.4293757879], [4.884488772, 50.4288610684], [4.8853807581, 50.4283466349], [4.8860597734999995, 50.4279937587], [4.8867003263, 50.4276857897], [4.8872409391, 50.4274533238], [4.8878862784, 50.4271848357], [4.8885198577, 50.4269435886], [4.8894728571, 50.4266192391], [4.8901172821, 50.426424323], [4.8907312582, 50.4262573345], [4.8916458249, 50.4260310685], [4.8923972995, 50.4258725061], [4.8930955301, 50.4257446096], [4.8942623429, 50.4255698966], [4.8953031906, 50.4254439748], [4.8964357165, 50.4253300636], [4.901755024, 50.4248068527], [4.9075472273, 50.4242427834], [4.9075509903, 50.4243152802], [4.9075280892, 50.4245616919], [4.9074065971, 50.4246771992], [4.9071810663, 50.4247572446], [4.9064043311, 50.4249445721], [4.9062254617, 50.4250364928], [4.9062357499, 50.4250681611], [4.9063005754, 50.4250932332], [4.9064542202, 50.4250703204], [4.9065485442, 50.4250698834], [4.9068465189, 50.4250780173], [4.9071000649, 50.4251085578], [4.9074335471, 50.4251831294], [4.9082302766, 50.425391925], [4.9088507241, 50.4253795253], [4.9089730904, 50.4256612281], [4.9090154596, 50.4258281151], [4.9090253838, 50.4258627383], [4.9090100538, 50.4259370789], [4.9088299598, 50.4265430454], [4.9084887915, 50.4273493814], [4.9085693423, 50.4273884134], [4.9085469204, 50.4275025171], [4.9083348853, 50.4275348897], [4.90795712, 50.427618056200004], [4.9077394012, 50.4277567207], [4.907615924, 50.4278753184], [4.9074677237, 50.4279997845], [4.907296055, 50.4281512394], [4.907037399, 50.4284974875], [4.9063246143, 50.429114177], [4.9051870209, 50.429780757], [4.9060062931, 50.4301674436], [4.9074131441, 50.4307036197], [4.9079652519, 50.4309306153], [4.908530781, 50.4311402643], [4.9090264521, 50.4313418987], [4.9093900084, 50.4315118162], [4.9096821913, 50.4316545504], [4.9101564201, 50.4319113381], [4.910480163, 50.4320812041], [4.9118634959000005, 50.4327974795], [4.9120412289, 50.432859162], [4.9125922386, 50.433017267], [4.9131072128, 50.4331567067], [4.9133138793, 50.4332023671], [4.9140817226, 50.4333215338], [4.9151403077, 50.4334689946], [4.9150650505, 50.4337431201], [4.915051196, 50.4338387333], [4.9151566768, 50.4339051195], [4.9155738096, 50.4339694656], [4.9167642892, 50.4341277238], [4.9091412915, 50.439101061], [4.9085784627999995, 50.4394924767], [4.9077621541, 50.4400217118], [4.905980637, 50.4411896182], [4.9040360717, 50.4425566182], [4.9004960699, 50.4448798737], [4.89943162, 50.4455861043], [4.8971426282, 50.4470493414], [4.8946149438, 50.4487588253], [4.8944088588, 50.4489588523]]], ""type"": ""Polygon""}";50.436558423694045, 4.894497198908928
